"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"892","S8648107",8491,"T01","19/09/13 12:12",100,100,100,100,100,80,80,100,100,100,100,100,NA,100,4713,"Yes"
"893","S8648139",8591,"T16","22/09/13 11:36",80,100,80,100,100,80,60,80,80,100,100,80,NA,80,4731,"Yes"
"894","S8648161",8335,"T05","1/09/13 23:17",100,100,80,100,100,100,100,100,100,80,80,100,NA,100,4538,"Yes"
"895","S8648169",7999,"T06","11/09/13 22:50",100,60,60,80,80,100,80,60,80,60,100,100,NA,80,4455,"Yes"
"896","S8648251",8253,"T03","15/09/13 15:07",100,100,100,80,100,60,100,100,100,100,100,100,NA,100,4543,"Yes"
"897","S8648283",8514,"T12","1/09/13 23:17",80,100,100,80,80,80,80,100,100,100,100,80,NA,100,4725,"Yes"
"898","S8648287",6607,"T02","9/09/13 9:19",100,100,100,100,100,100,100,80,100,80,80,100,NA,100,4412,"Yes"
"899","S8648347",8232,"T17","17/09/13 13:14",100,100,100,100,100,100,80,80,100,100,60,80,NA,100,4437,"Yes"
"900","S8648359",6623,"T10","10/09/13 13:41",100,100,100,100,80,80,80,80,80,60,100,100,NA,80,4315,"Yes"
"901","S8648363",8177,"T04","18/09/13 13:25",80,100,80,80,100,100,100,100,100,100,100,80,NA,100,4311,"Yes"
"902","S8648373",8555,"T10","19/09/13 13:10",100,100,100,100,80,60,80,80,80,40,60,80,NA,80,4167,"Yes"
"903","S8648389",8009,"T05","8/09/13 19:09",100,100,100,100,80,100,100,80,100,80,100,100,NA,100,4308,"Yes"
"904","S8648403",6570,"T14","1/09/13 23:17",80,100,100,80,100,100,80,80,80,80,100,80,NA,80,4273,"Yes"
"905","S8648407",8361,"T03","15/09/13 15:07",100,100,80,100,100,100,100,100,80,100,100,100,NA,100,4172,"Yes"
"906","S8648417",7968,"T04","11/09/13 12:55",100,100,80,60,100,80,100,80,80,100,80,80,NA,80,4413,"Yes"
"907","S8648433",8377,"T01","12/09/13 10:54",100,60,100,100,100,60,100,100,80,100,80,100,NA,100,4746,"Yes"
"908","S8650285",8595,"T02","20/09/13 10:56",100,80,60,80,80,100,60,80,60,60,40,80,NA,80,4852,"Yes"
"909","S8650925",8494,"T01","16/09/13 14:07",100,100,80,100,100,100,100,80,100,100,80,100,NA,100,4775,"Yes"
"910","S8650955",8546,"T01","16/09/13 14:07",100,60,100,80,100,80,100,100,100,100,100,100,NA,100,4780,"Yes"
"911","S8650965",8523,"T05","16/09/13 14:07",100,100,100,100,100,100,100,100,80,80,80,100,NA,100,4796,"Yes"
"912","S8651105",8227,"T10","18/09/13 13:25",100,100,80,100,100,80,60,80,80,80,60,80,NA,80,4786,"Yes"
"913","S8651143",8311,"T01","11/09/13 12:56",100,100,80,80,100,100,80,60,100,100,100,100,NA,100,4805,"Yes"
"914","S8651153",8314,"T14","2/09/13 12:10",100,100,100,80,100,100,80,80,100,100,100,100,NA,100,4800,"Yes"
"915","S8651439",8808,"T07","14/09/13 17:11",80,100,40,100,80,60,60,60,60,80,100,80,NA,80,4791,"Yes"
"916","S8651499",7988,"T01","11/09/13 7:14",100,60,60,60,100,60,100,80,60,100,60,80,NA,80,4797,"Yes"
"917","S8651541",8236,"T15","1/09/13 23:17",80,100,80,100,80,80,80,100,80,60,100,80,NA,80,4787,"No login"
"918","S8651543",8157,"T03","16/09/13 14:07",80,100,100,100,100,80,80,80,80,100,100,100,NA,100,4776,"Yes"
"919","S8651551",8398,"T06","17/09/13 13:14",100,100,100,80,80,100,80,100,100,80,100,100,NA,100,4798,"Yes"
"920","S8651573",8275,"T03","15/09/13 15:07",100,100,100,100,100,80,80,60,60,100,100,80,NA,80,4802,"Yes"
"921","S8651593",8490,"T04","19/09/13 14:00",100,100,80,100,80,100,100,80,80,60,40,80,NA,80,4788,"Yes"
"922","S8651607",8207,"T06","2/09/13 14:16",100,100,60,80,100,100,60,100,100,100,100,100,NA,100,4779,"Yes"
"923","S8651617",8132,"T01","11/09/13 12:56",100,60,60,80,80,80,80,100,80,100,100,100,NA,80,4789,"Yes"
"924","S8651641",8289,"T13","18/09/13 13:26",80,100,100,100,100,100,80,100,100,80,60,100,NA,100,4773,"Yes"
"925","S8651653",8807,"T11","16/09/13 14:07",100,100,60,80,60,100,60,60,60,60,100,100,NA,80,4781,"Yes"
"926","S8651713",8019,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4790,"Yes"
"927","S8651713",8669,"T12","1/09/13 23:17",80,100,40,80,80,100,60,100,100,60,60,80,NA,80,4790,"Yes"
"928","S8651737",8064,"T08","11/09/13 12:55",80,100,60,40,100,100,100,100,100,100,100,100,NA,100,4803,"Yes"
"929","S8651741",8538,"T05","16/09/13 14:07",100,100,100,100,100,100,100,100,100,100,100,100,NA,100,4792,"Yes"
"930","S8651749",8381,"T13","2/09/13 14:16",80,100,100,100,100,100,80,60,80,80,100,80,NA,100,4784,"Yes"
"931","S8651751",8461,"T02","20/09/13 10:56",80,100,60,80,80,100,60,80,80,100,60,100,NA,80,4795,"Yes"
"933","S8651785",8558,"T05","16/09/13 14:07",100,100,100,100,100,100,100,100,100,100,100,100,NA,100,4777,"Yes"
"934","S8651795",6474,"T10","9/09/13 9:19",100,100,60,40,80,100,80,80,80,60,100,80,NA,80,4799,"Yes"
"935","S8651833",6521,"T14","9/09/13 9:19",100,80,80,80,100,100,100,80,100,100,80,100,NA,100,4801,"Yes"
"936","S8651853",8502,"T05","16/09/13 14:07",80,100,60,100,100,100,100,80,80,100,40,100,NA,80,3327,"Yes"
"937","S8651897",6448,"T10","10/09/13 13:41",100,100,80,80,100,80,60,60,60,80,100,80,NA,80,4794,"Yes"
"938","S8653721",8347,"T03","15/09/13 15:07",100,100,100,100,80,100,80,60,80,100,100,80,NA,100,4810,"Yes"
"939","S8653725",8285,"T02","2/09/13 14:16",100,100,60,100,80,100,100,100,100,80,80,80,NA,100,4809,"Yes"
"940","S8653857",8563,"T16","22/09/13 11:36",80,80,80,100,80,100,80,80,60,60,100,80,NA,80,4848,"Yes"
"941","S8655007",6449,"T02","9/09/13 9:19",100,100,60,80,80,100,60,80,60,80,40,80,NA,80,4849,"Yes"
